Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,RB,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PE,rodada,ano,DS,PI
João Pedro (ATA),Fluminense,5.02,4,7.13,3.7,-0.44,2.0,3.0,,,4.0,2.0,2.0,,,,,,1.0,,,2.0,,5.0,7,2019,,
Everaldo (ATA),Chapecoense,17.65,7,7.09,9.4,1.27,2.0,4.0,1.0,,6.0,11.0,7.0,,,,,,,,,14.0,,12.0,7,2019,,
Eduardo Sasha (ATA),Santos,17.26,6,6.98,9.4,1.36,12.0,3.0,,,5.0,4.0,1.0,,,,,,,,,8.0,,10.0,7,2019,,
Rodriguez (ZAG),Grêmio,3.5,2,6.9,3.8,-0.53,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,4.0,7,2019,,
Bruno Henrique (ATA),Flamengo,20.56,6,6.8,0.0,0.0,,4.0,,,8.0,9.0,6.0,,,,,,2.0,,,6.0,1.0,7.0,7,2019,,
Cazares (MEI),Atlético-MG,11.29,3,6.73,10.9,2.02,,2.0,,,2.0,3.0,4.0,,,,,,,,,2.0,,10.0,7,2019,,
Willian Arão (MEI),Flamengo,13.68,5,6.62,3.5,-0.04,15.0,,3.0,,3.0,2.0,,,,,,,,,,9.0,,10.0,7,2019,,
Marcelo Lomba (GOL),Internacional,12.12,7,6.5,8.0,-0.12,,,,3.0,3.0,,,,13.0,,,,,,5.0,,,,7,2019,,
Diogo Barbosa (LAT),Palmeiras,10.62,2,6.45,2.7,-0.79,6.0,,,1.0,2.0,,,,,,,,,,,3.0,,2.0,7,2019,,
Douglas Friedrich (GOL),Bahia,11.13,6,6.42,10.0,1.71,1.0,,,3.0,2.0,,,,11.0,,,,,,6.0,,,,7,2019,,
Marco Ruben (ATA),Athlético-PR,16.1,4,6.35,4.7,-0.74,3.0,1.0,1.0,,2.0,1.0,4.0,2.0,,,,,,,,6.0,1.0,4.0,7,2019,,
Tadeu (GOL),Goiás,14.42,6,6.25,0.0,0.0,,,,2.0,2.0,,,,11.0,1.0,,,,,6.0,,,5.0,7,2019,,
Danilo Avelar (LAT),Corinthians,7.47,3,6.23,0.0,0.0,3.0,,,3.0,5.0,1.0,1.0,,,,,,1.0,,,3.0,,6.0,7,2019,,
Nonato (MEI),Internacional,8.61,6,6.23,3.9,0.22,13.0,2.0,1.0,,3.0,2.0,1.0,,,,,,,,,10.0,,8.0,7,2019,,
Thiago Neves (MEI),Cruzeiro,8.96,6,6.18,7.4,-0.56,1.0,3.0,1.0,,5.0,7.0,4.0,1.0,,,,,2.0,,,3.0,1.0,11.0,7,2019,,
Chará (ATA),Atlético-MG,13.02,7,5.95,11.8,1.64,8.0,3.0,,,9.0,5.0,2.0,1.0,,,,,,,,4.0,1.0,19.0,7,2019,,
Víctor Cuesta (ZAG),Internacional,14.61,6,5.88,11.8,1.56,19.0,,,3.0,4.0,,,,,,,,2.0,,,7.0,,9.0,7,2019,,
Manoel (ZAG),Corinthians,11.77,5,5.84,0.0,0.0,9.0,,,4.0,,2.0,,,,,,,1.0,,,3.0,,8.0,7,2019,,
Jordi (GOL),CSA,6.99,7,5.8,-2.8,-2.91,,,,3.0,2.0,,,,16.0,,,,2.0,,9.0,1.0,,3.0,7,2019,,
Leandro Barcia (ATA),Goiás,10.11,6,5.77,0.0,0.0,5.0,2.0,,,14.0,7.0,5.0,1.0,,,,,1.0,,,11.0,,10.0,7,2019,,
Dedé (ZAG),Cruzeiro,15.74,7,5.72,5.7,0.14,15.0,2.0,,1.0,7.0,3.0,1.0,,,,,,1.0,,,7.0,,17.0,7,2019,,
Marcinho (ATA),Fortaleza,8.16,7,5.63,4.9,0.33,10.0,2.0,2.0,,6.0,2.0,4.0,,,,,,2.0,,,5.0,3.0,10.0,7,2019,,
Pedro Geromel (ZAG),Grêmio,12.07,6,5.48,-0.5,-1.99,18.0,,,2.0,4.0,3.0,,,,,,,2.0,,,3.0,,10.0,7,2019,,
Alerrandro (ATA),Atlético-MG,5.78,2,5.4,10.8,2.12,,,1.0,,4.0,3.0,,1.0,,,,,,,,1.0,1.0,2.0,7,2019,,
Bruno Guimarães (MEI),Athlético-PR,13.04,5,5.38,4.8,0.51,5.0,1.0,,,15.0,3.0,4.0,1.0,,,,,,,,9.0,,6.0,7,2019,,
Nikão (MEI),Athlético-PR,16.94,5,5.34,-2.1,-2.76,5.0,1.0,1.0,,7.0,6.0,4.0,,,,,,1.0,,,5.0,,8.0,7,2019,,
Rodrigo Caio (ZAG),Flamengo,9.51,5,5.16,10.3,1.16,8.0,1.0,,1.0,4.0,7.0,1.0,,,,,,1.0,,,6.0,,10.0,7,2019,,
Samuel Xavier (LAT),Ceará,13.87,7,5.15,8.3,1.07,11.0,,2.0,1.0,16.0,2.0,1.0,1.0,,,,,,,,5.0,1.0,21.0,7,2019,,
Egídio (LAT),Cruzeiro,9.55,4,5.12,7.8,1.29,11.0,,1.0,,5.0,1.0,2.0,,,,,,,,,2.0,,19.0,7,2019,,
Odair Hellmann (TEC),Internacional,10.79,7,5.12,7.46,0.79,,,,,,,,,,,,,,,,,,,7,2019,,
Cícero (MEI),Botafogo,12.7,7,5.09,3.7,-0.08,9.0,1.0,1.0,,23.0,3.0,2.0,,,,,,1.0,,,2.0,,14.0,7,2019,,
Jefferson (LAT),Goiás,10.31,6,5.08,0.0,0.0,12.0,,,2.0,10.0,2.0,1.0,,,,,,,,,4.0,,11.0,7,2019,,
Luan (ZAG),Palmeiras,10.57,1,5.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,7,2019,,
Márcio Araújo (MEI),Chapecoense,9.73,7,4.99,4.9,0.52,20.0,,,,8.0,3.0,2.0,,,,,,,,,3.0,,8.0,7,2019,,
Moisés (LAT),Bahia,12.37,5,4.88,4.7,0.88,12.0,,1.0,2.0,1.0,3.0,1.0,,,,,,2.0,,,12.0,,9.0,7,2019,,
Jorge Sampaoli (TEC),Santos,11.69,7,4.86,5.67,0.39,,,,,,,,,,,,,,,,,,,7,2019,,
